Date,Open,High,Low,Close,Volume
2025-10-07,1509.425130,1534.133851,1500.648713,1525.265332,120620023
2025-10-08,1525.097025,1543.664350,1480.899651,1499.151096,20138814
2025-10-09,1499.971963,1526.068647,1423.859944,1449.071048,56752556
2025-10-10,1444.655463,1460.638434,1425.034282,1440.976552,102256497
2025-10-13,1439.805508,1456.942920,1366.103524,1382.559561,98474851
2025-10-14,1361.604694,1380.052882,1322.918786,1341.089009,15144365
2025-10-15,1340.290068,1388.243898,1316.144037,1363.676548,125477080
2025-10-16,1359.908827,1388.436136,1348.823547,1377.209827,113708512
2025-10-17,1383.957642,1398.424231,1346.703056,1360.928924,140006813
2025-10-20,1349.842521,1362.719304,1325.853228,1338.622982,88757080
2025-10-21,1337.497591,1421.518314,1316.921328,1399.980801,144531808
2025-10-22,1404.484069,1416.131358,1382.110662,1393.668257,115902900
2025-10-23,1380.139369,1420.693872,1366.165420,1406.453491,41372615
2025-10-24,1397.144672,1425.585184,1343.205036,1371.115697,84596516
2025-10-27,1358.684425,1407.714560,1341.939269,1390.576350,103736297
2025-10-28,1373.098840,1376.570718,1356.385883,1359.824196,56350776
2025-10-29,1375.307719,1381.519342,1369.292775,1375.503541,118199821
2025-10-30,1369.215925,1385.477093,1330.679663,1346.673107,17665136
2025-10-31,1348.074574,1373.480736,1329.998218,1355.307395,93286379
2025-11-03,1354.317241,1367.646310,1335.246728,1348.518729,118827258
2025-11-04,1357.773424,1364.657673,1310.032026,1316.708064,130068566
2025-11-05,1331.981499,1348.419861,1313.539024,1329.952343,44314680
2025-11-06,1326.245201,1347.370601,1303.582137,1324.682647,148463051
2025-11-07,1329.116994,1408.962815,1308.481272,1387.421858,98051431
2025-11-10,1386.402879,1428.167651,1364.221582,1405.677969,135532459
2025-11-11,1389.199577,1462.200313,1369.218446,1441.467403,142733993
2025-11-12,1449.482875,1475.439845,1397.690084,1423.175955,91436641
2025-11-13,1416.191297,1453.994759,1389.832092,1427.426437,54120774
2025-11-14,1417.341661,1458.055068,1393.854262,1434.286862,22380637
2025-11-17,1448.028048,1472.801823,1409.841273,1434.381575,133007085
2025-11-18,1435.241262,1510.728604,1426.531714,1501.616268,28261382
2025-11-19,1485.573892,1508.611224,1441.977011,1464.690497,53361006
2025-11-20,1453.670253,1474.748307,1422.252832,1443.178761,117630272
2025-11-21,1437.652254,1509.054526,1418.327528,1489.039065,105988742
2025-11-24,1487.611927,1548.512573,1462.547606,1522.854461,141851259
2025-11-25,1531.062743,1585.762542,1515.734527,1570.044065,91796635
2025-11-26,1567.769986,1581.401008,1523.056361,1536.414764,22451171
2025-11-27,1533.181549,1546.209090,1514.371631,1527.349618,59309929
2025-11-28,1527.602104,1536.885773,1471.306946,1480.303166,38356741
2025-12-01,1488.541249,1496.772466,1443.425680,1451.451803,126565777
2025-12-02,1444.703254,1462.634433,1375.080191,1392.361724,117770033
2025-12-03,1400.353930,1416.461446,1378.743151,1394.786629,91322324
2025-12-04,1406.515078,1421.554251,1355.029416,1369.674673,31314361
2025-12-05,1379.854296,1395.270337,1344.702250,1359.895305,120052895
2025-12-08,1351.510648,1432.172065,1320.217326,1399.761526,7398916
2025-12-09,1389.505139,1492.981834,1367.208761,1469.403388,70467884
2025-12-10,1461.599335,1533.141727,1433.441240,1504.163621,98997619
2025-12-11,1503.709449,1529.433645,1487.135859,1512.760299,80581701
2025-12-12,1515.532598,1534.244365,1506.685885,1525.340400,142259577
2025-12-15,1529.221997,1562.191462,1484.577813,1517.290029,77676197
2025-12-16,1519.898257,1531.084095,1451.341028,1462.101504,36177194
2025-12-17,1457.812070,1517.275475,1430.215823,1489.087193,35311438
2025-12-18,1485.159549,1514.133921,1472.491477,1501.327936,127202525
2025-12-19,1501.348154,1540.355129,1469.761280,1508.615360,87673014
2025-12-22,1504.093830,1526.788698,1466.688979,1489.158492,50077845
2025-12-23,1483.823781,1505.892889,1467.309269,1489.317237,116668728
2025-12-24,1505.157801,1591.450270,1490.064877,1575.650482,56899058
2025-12-25,1569.909899,1593.586538,1546.040135,1569.713816,50594120
2025-12-26,1588.931081,1606.148767,1536.524957,1553.357163,66833374
2025-12-29,1544.704688,1623.068073,1499.694366,1577.113410,119640619
2025-12-30,1587.305844,1605.027640,1526.063011,1543.293421,129526592
2025-12-31,1546.607300,1594.135136,1526.028792,1573.202760,48930344
2026-01-01,1581.583141,1603.887923,1528.882613,1550.752597,49051702
2026-01-02,1565.780489,1588.942791,1503.226076,1525.796907,7875925
2026-01-05,1535.567856,1542.611453,1470.927876,1477.706062,63396577
2026-01-06,1472.684550,1485.687930,1416.249525,1428.866000,54634173
2026-01-07,1434.155189,1464.483552,1374.767543,1404.468108,93002242
2026-01-08,1400.231119,1423.222809,1358.872184,1381.557250,43657494
2026-01-09,1388.484749,1418.030420,1345.570450,1374.825464,72940551
2026-01-12,1368.556079,1439.729227,1356.968604,1427.641480,18107595
2026-01-13,1434.665773,1447.127550,1367.072310,1379.051007,51862692
2026-01-14,1375.489740,1437.423918,1359.629852,1421.038833,128338435
2026-01-15,1415.470195,1460.998224,1399.541175,1444.739818,32178495
2026-01-16,1431.993843,1462.288639,1419.193183,1449.332984,55414648
2026-01-19,1445.731313,1474.542790,1390.851705,1419.133117,17426568
2026-01-20,1426.282072,1451.382184,1407.423512,1432.442174,82723319
2026-01-21,1419.862763,1457.634367,1410.023831,1447.603207,125506965
2026-01-22,1458.974127,1480.556675,1419.239689,1440.549686,131617385
2026-01-23,1437.628349,1466.611328,1429.363140,1458.227689,50992988
2026-01-26,1444.766793,1478.125691,1428.930080,1462.098992,137159271
2026-01-27,1455.026976,1467.490336,1429.637873,1441.989559,135155675
2026-01-28,1425.628112,1447.720364,1401.319798,1423.377169,47048826
2026-01-29,1429.913631,1475.462380,1419.909509,1465.211305,50045578
2026-01-30,1467.759850,1475.864513,1447.204172,1455.239701,37919055
2026-02-02,1446.531049,1492.572114,1435.174480,1480.945362,105025428
2026-02-03,1482.668173,1490.892032,1472.262390,1480.474079,144716030
2026-02-04,1491.034381,1524.779406,1461.754607,1495.413636,131676717
2026-02-05,1503.914598,1521.775481,1453.388099,1470.856374,115366684
2026-02-06,1475.229204,1492.094454,1413.046564,1429.387741,127771269
2026-02-09,1432.108872,1452.330618,1392.644743,1412.590890,108728893
2026-02-10,1419.955586,1453.440642,1411.734768,1445.074398,30197778
2026-02-11,1447.823795,1486.331017,1428.349428,1466.604042,127123717
2026-02-12,1459.611512,1517.533248,1441.899759,1499.339415,17973182
2026-02-13,1475.679576,1532.204531,1452.817623,1508.829010,99227448
2026-02-16,1525.617236,1545.011248,1504.545942,1523.918358,16063357
2026-02-17,1532.987709,1567.159039,1523.738019,1557.759881,94483030
2026-02-18,1550.361464,1568.237268,1538.140979,1555.972554,108725696
2026-02-19,1580.117924,1625.399597,1560.399392,1605.365990,42682233
2026-02-20,1618.692365,1647.400365,1527.789715,1555.374758,79034110
2026-02-23,1558.812223,1583.669248,1499.114893,1523.407348,120414098
2026-02-24,1539.588728,1557.713836,1499.164869,1517.024333,52215517
2026-02-25,1523.892071,1542.609176,1430.291746,1448.077666,90854959
2026-02-26,1457.189936,1515.864984,1440.263888,1498.459567,35912563
2026-02-27,1512.117813,1514.263756,1500.517722,1502.650229,55726303
2026-03-02,1509.190486,1537.056226,1501.421312,1529.184127,148784150
2026-03-03,1541.886295,1562.232715,1505.030706,1525.156362,25185955
2026-03-04,1531.460735,1538.461871,1480.249267,1487.047366,3994808
2026-03-05,1488.012120,1524.125580,1466.379767,1502.285721,117093550
2026-03-06,1505.843266,1519.878576,1477.156879,1491.054347,112681070
2026-03-09,1494.462436,1523.830323,1474.349094,1503.594083,18973288
2026-03-10,1495.677133,1523.780202,1489.059700,1517.068127,132442400
2026-03-11,1526.629460,1561.905805,1428.181680,1461.963773,104087682
2026-03-12,1460.282403,1469.790566,1452.378185,1461.877713,23496805
2026-03-13,1453.147687,1512.297003,1447.561991,1506.506205,148116598
2026-03-16,1506.237866,1513.639861,1487.004440,1494.348005,87834214
2026-03-17,1492.295107,1559.778216,1484.112195,1551.271908,93588078
2026-03-18,1552.346346,1584.509142,1535.030192,1567.029203,102005374
2026-03-19,1563.165730,1570.944864,1551.699816,1559.460511,101501805
2026-03-20,1554.304660,1574.916916,1513.328926,1533.667505,58971709
2026-03-23,1530.709544,1551.701173,1494.187201,1514.962886,146487901
2026-03-24,1532.642399,1540.505798,1469.381644,1476.959355,149388002
2026-03-25,1487.857479,1501.775013,1417.937488,1431.326225,2298206
2026-03-26,1426.780809,1441.164966,1387.439501,1401.569489,39562175
2026-03-27,1408.237679,1415.951532,1404.994690,1412.698271,7004360
2026-03-30,1420.231178,1434.383422,1391.888160,1405.897574,38329207
2026-03-31,1412.404362,1438.484603,1370.252315,1396.030205,52011997
2026-04-01,1377.387359,1393.801078,1330.858926,1346.909453,9967293
2026-04-02,1343.537625,1357.658915,1293.042935,1306.777860,88752603
2026-04-03,1317.015021,1332.068482,1268.882445,1283.553441,115849150
2026-04-06,1289.216478,1307.467047,1277.967630,1296.157635,58337336
2026-04-07,1301.256191,1331.601268,1300.897882,1331.234703,12278743
2026-04-08,1342.985055,1359.362998,1301.830447,1317.902503,122250252
2026-04-09,1317.961222,1346.206701,1278.175427,1306.168167,107993339
2026-04-10,1298.095466,1324.654722,1267.270769,1293.740931,113410222
2026-04-13,1283.482913,1306.463100,1267.646835,1290.539949,101018388
2026-04-14,1303.713635,1317.349334,1276.986630,1290.483959,124353817
2026-04-15,1297.922659,1327.542926,1223.228176,1251.795768,87696840
2026-04-16,1247.042564,1292.988348,1231.751619,1277.326073,87238343
2026-04-17,1271.991979,1283.131412,1266.544625,1277.659786,43644696
2026-04-20,1278.402051,1324.182733,1254.110125,1299.490096,129797267
2026-04-21,1303.778069,1317.004211,1285.516290,1298.690824,75624800
2026-04-22,1292.318517,1302.071396,1288.196179,1297.931154,95157753
2026-04-23,1300.206125,1327.876017,1284.026483,1311.555149,18710524
2026-04-24,1297.506158,1316.284352,1277.881581,1296.647346,54324603
2026-04-27,1283.011797,1309.200613,1232.354578,1258.033539,40499213
2026-04-28,1263.859568,1280.378992,1189.036850,1204.784122,130971770
2026-04-29,1194.695791,1245.773924,1190.388539,1241.298653,59279517
2026-04-30,1236.000397,1303.238886,1219.951296,1286.533626,124189427
2026-05-01,1275.079627,1307.504914,1236.998703,1269.276414,70978318
2026-05-04,1256.291754,1292.577050,1235.053550,1271.088697,39468644
2026-05-05,1275.044364,1277.367817,1251.128283,1253.412318,60738450
2026-05-06,1241.913450,1246.010980,1222.663801,1226.711174,48959807
2026-05-07,1229.571016,1254.092701,1163.335325,1187.008167,52125960
2026-05-08,1201.571133,1207.954556,1171.644972,1177.902655,10863103
2026-05-11,1177.209347,1238.857492,1164.609009,1225.737727,2664596
2026-05-12,1228.741746,1272.309759,1205.408381,1248.599306,71876784
2026-05-13,1254.151949,1268.774409,1220.313486,1234.709260,106642678
2026-05-14,1229.003979,1251.566617,1182.981223,1205.105114,43197562
2026-05-15,1198.185510,1233.259730,1185.326323,1220.164658,56871591
2026-05-18,1222.817286,1240.701532,1163.553043,1180.823105,25027070
2026-05-19,1182.254032,1197.461969,1136.621990,1151.433467,102953629
2026-05-20,1149.095868,1159.965696,1134.910224,1145.748388,131720685
2026-05-21,1154.598924,1164.202029,1144.127166,1153.722986,90388574
2026-05-22,1159.838631,1172.669324,1134.685521,1147.378372,61378007
2026-05-25,1157.365721,1200.808155,1141.971196,1185.045453,53007904
2026-05-26,1185.931190,1201.446267,1159.071530,1174.436223,104224102
2026-05-27,1168.365221,1183.124986,1146.733649,1161.405492,89411110
2026-05-28,1159.488925,1194.272232,1146.121123,1180.660344,31973279
2026-05-29,1184.936348,1224.953346,1166.860814,1206.548137,19645067
2026-06-01,1209.997670,1244.873326,1194.495934,1229.126523,104549353
2026-06-02,1230.227109,1301.845335,1210.926529,1281.736641,103241388
2026-06-03,1275.164950,1299.426827,1264.750687,1288.900386,134513883
2026-06-04,1285.786732,1294.820245,1253.629846,1262.499753,120940762
2026-06-05,1265.495781,1277.273750,1201.688502,1212.977685,91873415
2026-06-08,1210.402600,1224.428347,1203.867239,1217.852760,28872692
2026-06-09,1217.646489,1224.139012,1188.991028,1195.364744,94261525
2026-06-10,1191.538781,1222.231207,1168.085889,1198.638571,84609399
2026-06-11,1197.213890,1199.570140,1193.135593,1195.488447,117174413
2026-06-12,1192.280308,1213.758577,1148.736134,1169.809606,138890721
2026-06-15,1171.377156,1179.347841,1129.288731,1137.025671,88715328
2026-06-16,1132.376692,1170.569293,1123.487873,1161.452239,37236470
2026-06-17,1149.587772,1203.449384,1134.245290,1187.599594,133664238
2026-06-18,1189.694832,1217.154378,1176.496405,1203.799474,101615608
2026-06-19,1200.634528,1212.480797,1188.508291,1200.351770,110367305
2026-06-22,1191.225793,1233.147689,1178.974085,1220.593931,66911310
2026-06-23,1227.917289,1252.828702,1202.031182,1226.922411,78193722
2026-06-24,1224.590687,1238.850173,1197.922149,1212.035437,1243650
2026-06-25,1208.924803,1231.131068,1190.135360,1212.289333,33434777
2026-06-26,1219.669045,1260.462818,1199.004497,1239.462907,100661441
2026-06-29,1242.815336,1261.317830,1195.623528,1213.692453,25097663
2026-06-30,1216.847064,1236.025823,1185.656779,1204.643193,48862399
2026-07-01,1208.998143,1221.375804,1198.690732,1211.050892,129341497
2026-07-02,1214.964080,1231.923323,1192.103221,1208.978920,47289652
2026-07-03,1205.023056,1248.691713,1193.097837,1236.455432,26116466
2026-07-06,1226.673956,1251.234418,1212.626530,1237.067964,121265262
2026-07-07,1240.565300,1262.163311,1226.711049,1248.223535,139857681
2026-07-08,1256.847534,1274.217452,1243.568900,1260.896045,2329768
2026-07-09,1258.797442,1263.645959,1232.631040,1237.397130,66493538
2026-07-10,1231.825290,1268.395300,1212.527766,1248.831363,13775902
2026-07-13,1249.157557,1266.496619,1214.281059,1231.373264,145413321
2026-07-14,1230.607029,1237.360436,1198.600750,1205.214808,83790869
2026-07-15,1218.337768,1233.179583,1199.131292,1213.919280,54653198
2026-07-16,1222.300481,1240.562701,1191.639854,1209.714021,3649545
2026-07-17,1210.256289,1263.894395,1191.070830,1244.171302,45814675
2026-07-20,1240.416576,1291.281769,1229.113389,1279.621332,62934802
2026-07-21,1278.972664,1300.070880,1267.748256,1288.760572,52752027
2026-07-22,1293.327208,1332.308221,1275.164235,1313.856936,116284992
2026-07-23,1307.330558,1316.863978,1270.484840,1279.817628,69441510
2026-07-24,1291.926919,1317.666989,1238.000650,1263.167727,19047435
2026-07-27,1259.456130,1266.129803,1240.827087,1247.437073,36122193
2026-07-28,1249.697282,1298.490339,1233.167434,1281.539313,33068493
2026-07-29,1279.809634,1281.989981,1237.901498,1240.014047,53993718
2026-07-30,1240.341759,1245.120954,1238.572992,1243.347901,85910265
2026-07-31,1249.136016,1284.498797,1227.724253,1262.851926,101462172
2026-08-03,1263.042481,1303.835069,1225.698280,1266.391837,143429367
2026-08-04,1257.496631,1271.719466,1239.909269,1254.093614,100541679
2026-08-05,1248.807941,1292.818710,1226.796278,1270.426004,133394635
2026-08-06,1259.629296,1287.652958,1212.939592,1240.538531,17894383
2026-08-07,1238.483235,1255.137388,1209.899193,1226.390735,149223238
2026-08-10,1221.829172,1249.142774,1208.899237,1236.062219,38362826
2026-08-11,1229.144027,1276.837104,1216.911712,1264.255365,40735873
2026-08-12,1249.392056,1263.118355,1211.621419,1225.080622,90846112
2026-08-13,1219.178783,1244.817965,1204.241206,1229.750856,77241371
2026-08-14,1237.675695,1257.437159,1186.777900,1206.034157,137965620
2026-08-17,1215.562660,1238.947093,1201.200247,1224.479325,12296628
2026-08-18,1227.042658,1242.778047,1201.366514,1216.972769,131736204
2026-08-19,1210.182417,1226.396621,1145.820184,1161.380533,125179849
2026-08-20,1156.299287,1165.955471,1155.263058,1164.911524,73546381
2026-08-21,1166.392472,1192.602083,1145.882143,1171.993267,26708616
2026-08-24,1169.580711,1230.607117,1158.423345,1218.978515,101904543
2026-08-25,1222.974186,1236.511479,1177.955794,1191.140716,65957215
2026-08-26,1191.849925,1216.637795,1173.671047,1198.359627,56102654
2026-08-27,1205.961176,1214.272234,1160.415392,1168.468061,69099144
2026-08-28,1157.218007,1172.838752,1135.805041,1151.346530,122732096
2026-08-31,1154.162285,1170.479916,1129.040421,1145.231792,9245646
