Date,Open,High,Low,Close,Volume
2025-10-07,842.847201,851.383174,834.542009,843.075730,70859506
2025-10-08,843.249972,860.582504,834.477107,851.721504,25953393
2025-10-09,844.967572,870.745123,838.906924,864.544060,143389419
2025-10-10,864.759268,874.830312,852.988753,863.039771,31685173
2025-10-13,863.270351,902.994104,852.226810,891.588301,88199544
2025-10-14,893.002680,906.934180,881.818979,895.716492,44022462
2025-10-15,905.122249,917.201997,846.925922,858.381873,50550901
2025-10-16,860.423937,862.936782,852.057371,854.553070,45940737
2025-10-17,867.089876,876.678072,846.462981,855.927747,82174213
2025-10-20,856.584384,869.403492,826.311058,838.864988,76773085
2025-10-21,840.869193,852.762856,826.649118,838.509403,126984846
2025-10-22,836.876174,866.579462,824.647968,854.099592,144915348
2025-10-23,854.500217,882.287480,841.189671,868.754888,143459748
2025-10-24,875.706426,884.871134,870.491755,879.633080,15299476
2025-10-27,879.845450,885.540304,856.638842,862.219611,79224043
2025-10-28,860.474223,871.969859,840.862747,852.248489,59617518
2025-10-29,852.801427,877.031940,841.679788,865.741545,14348218
2025-10-30,862.028481,871.778212,846.008460,855.686462,107393600
2025-10-31,852.827039,890.498733,846.759672,884.208108,11034672
2025-11-03,886.199995,906.550562,861.850306,882.106880,104387922
2025-11-04,883.646715,899.397562,845.848203,861.198922,109374364
2025-11-05,865.136114,881.844967,823.484817,839.702456,118519062
2025-11-06,844.214759,895.218250,832.268597,882.727114,29132811
2025-11-07,873.371129,877.770180,859.645109,863.996943,75916706
2025-11-10,864.324242,893.439943,851.557003,880.434730,49496551
2025-11-11,873.330964,921.975760,850.325490,898.312225,86713204
2025-11-12,904.842144,906.666502,893.638614,895.444024,145949128
2025-11-13,885.224977,909.791677,879.176603,903.617634,16535895
2025-11-14,902.682020,911.696431,888.469883,897.431864,25612805
2025-11-17,898.282362,925.474086,889.989965,917.008818,10558645
2025-11-18,913.700257,930.257107,904.449118,920.932740,77181168
2025-11-19,915.461551,955.947532,902.983245,943.092597,27671188
2025-11-20,946.753689,960.314861,922.431055,935.835841,87346283
2025-11-21,926.724740,983.179459,918.884215,974.931085,13622251
2025-11-24,985.393053,1002.416040,971.273797,988.255765,130559091
2025-11-25,990.467929,995.645941,947.341299,952.319878,132067375
2025-11-26,945.458128,988.658114,930.447800,973.207234,140442625
2025-11-27,976.094227,982.535023,954.644825,960.985928,119331670
2025-11-28,954.726497,979.739035,942.716494,967.567498,34772318
2025-12-01,962.719027,982.249600,951.768416,971.202492,83552651
2025-12-02,968.759660,999.743674,957.245395,988.000719,9214884
2025-12-03,973.226368,988.328608,953.220519,968.245467,115211418
2025-12-04,959.162249,990.787079,943.118813,974.487308,68538116
2025-12-05,971.579091,991.230968,966.303146,985.877379,8916464
2025-12-08,979.296899,993.340740,958.214238,972.155669,94134690
2025-12-09,971.146746,992.034779,954.089977,974.911881,108354815
2025-12-10,977.134248,988.522247,970.304070,981.660431,26170116
2025-12-11,982.979863,1008.452929,968.831693,994.144071,44285937
2025-12-12,992.131565,1030.552200,976.255189,1014.320746,94710683
2025-12-15,1020.610288,1032.630292,1007.631943,1019.640526,120323361
2025-12-16,1004.042404,1023.651228,997.637436,1017.162565,20812041
2025-12-17,1023.231162,1056.870270,1007.346141,1040.713841,107593742
2025-12-18,1050.442993,1064.310325,1003.892256,1017.322348,50878917
2025-12-19,1029.638697,1031.596935,1017.950204,1019.889901,78231348
2025-12-22,1018.906255,1032.254928,999.655900,1012.926229,119516459
2025-12-23,1013.337807,1034.441105,1000.685539,1021.684620,144785599
2025-12-24,1017.022309,1034.943172,1005.161662,1023.012664,126732764
2025-12-25,1028.800451,1040.256299,1011.049177,1022.434135,28873813
2025-12-26,1021.411798,1039.946342,990.294791,1008.596794,32449958
2025-12-29,1009.376181,1055.715333,993.867515,1039.740136,39604551
2025-12-30,1037.314003,1052.338922,977.153135,991.514676,49751714
2025-12-31,989.453381,1024.135200,976.831518,1011.235476,35638010
2026-01-01,1017.399716,1030.586621,1004.937719,1018.115852,81608467
2026-01-02,1020.957582,1035.124798,997.192781,1011.224943,16413203
2026-01-05,1000.505480,1044.056013,987.464063,1030.622032,145610911
2026-01-06,1033.145888,1046.500567,987.738102,1000.673030,38813760
2026-01-07,997.941199,1018.041242,964.235028,984.055390,36495186
2026-01-08,984.582047,1018.976941,968.142654,1002.242671,89320854
2026-01-09,995.455255,1004.510261,982.082473,991.097843,143978748
2026-01-12,992.603264,995.898236,952.497431,955.669801,13583885
2026-01-13,946.830509,959.744155,925.071850,937.863192,68365293
2026-01-14,930.971366,962.508945,915.925849,947.201137,78811662
2026-01-15,953.618743,989.060806,942.129982,977.286901,127949530
2026-01-16,970.069844,984.788126,955.046967,969.760556,60521125
2026-01-19,968.735735,991.210598,960.487826,982.842582,32308658
2026-01-20,978.129021,1021.981803,966.708061,1010.186530,22479341
2026-01-21,1015.619643,1025.797488,995.705979,1005.785271,34575500
2026-01-22,1012.019340,1020.151197,966.348101,974.175875,124479075
2026-01-23,984.680176,996.870427,964.571931,976.662929,65709206
2026-01-26,981.809675,988.800108,955.043535,961.892156,53050278
2026-01-27,966.175512,982.055870,940.698853,956.418847,64997497
2026-01-28,966.001464,977.165613,947.315839,958.392046,135249182
2026-01-29,952.798123,976.595590,942.588913,966.242326,60726292
2026-01-30,984.488924,990.488795,955.844937,961.705959,44330869
2026-02-02,963.518725,978.917486,917.724887,932.629990,45306699
2026-02-03,933.727120,950.542731,919.941652,936.713178,20860323
2026-02-04,944.721795,959.627307,936.014269,950.863176,5883930
2026-02-05,960.200546,967.972917,943.601547,951.301887,1878495
2026-02-06,947.117624,958.557315,923.519945,934.810992,84620668
2026-02-09,926.024856,935.202840,867.451956,876.135479,22225700
2026-02-10,862.724645,877.681053,847.262700,862.210188,95620307
2026-02-11,860.207202,866.198239,848.185756,854.134499,139940627
2026-02-12,849.990941,883.439659,841.445354,874.646194,147438789
2026-02-13,871.638375,877.659056,837.263938,843.087409,11759750
2026-02-16,836.937773,848.532138,790.638751,801.745587,57425765
2026-02-17,799.382247,829.306309,781.304406,810.966493,40078022
2026-02-18,812.774681,818.507002,798.945452,804.620262,112590476
2026-02-19,800.931659,816.538494,790.976958,806.514405,55141329
2026-02-20,811.106713,816.960227,789.344127,795.081996,111204787
2026-02-23,793.378132,806.679145,754.514297,767.379440,31668538
2026-02-24,771.839160,778.218643,760.120450,766.455435,62883153
2026-02-25,773.845364,789.646373,757.730444,773.524910,4725158
2026-02-26,775.597494,791.974521,733.923748,749.755103,129613120
2026-02-27,749.150405,758.590883,729.806177,739.120259,64305592
2026-03-02,738.129315,751.927795,714.894155,728.512867,22987036
2026-03-03,730.837454,741.932337,712.858908,723.847679,140491897
2026-03-04,723.654247,745.042695,714.950819,736.188516,21945579
2026-03-05,739.229812,757.834435,711.770166,730.146176,55937881
2026-03-06,729.089403,734.100542,721.717071,726.711869,25970586
2026-03-09,723.896595,734.431208,702.221868,712.591969,124278729
2026-03-10,705.859046,727.045373,699.169257,720.219482,141149514
2026-03-11,716.711356,722.676060,709.159074,715.110455,76760138
2026-03-12,706.401977,733.559862,701.840298,728.853202,94243477
2026-03-13,723.654087,734.094485,714.083860,724.512900,143142034
2026-03-16,727.182414,731.411955,707.254070,711.391766,103084448
2026-03-17,708.502981,718.693649,686.177948,696.191537,46877012
2026-03-18,692.011159,719.655975,690.424390,718.009592,118851128
2026-03-19,718.476156,719.228722,700.789268,701.524078,148371320
2026-03-20,696.632707,705.118273,686.607530,695.074111,65169837
2026-03-23,700.770088,706.714823,658.155747,663.786747,135430556
2026-03-24,670.979261,686.722767,660.078132,675.744224,64786581
2026-03-25,676.436207,703.882871,661.685992,688.861708,48130020
2026-03-26,690.630235,720.972139,682.676091,712.763086,147324321
2026-03-27,716.399465,726.934805,700.132535,710.582329,80423880
2026-03-30,708.961312,715.895380,697.202355,704.088766,76324020
2026-03-31,704.312805,715.439758,683.754769,694.730336,100637329
2026-04-01,690.126869,698.979561,677.973387,686.783187,39339599
2026-04-02,680.685004,693.369688,675.274577,687.901897,56009313
2026-04-03,684.568443,695.595576,673.545838,684.572899,122833086
2026-04-06,681.762005,709.595247,672.317711,699.899696,112798092
2026-04-07,698.261387,734.359456,688.154613,723.881846,48885510
2026-04-08,727.429238,749.086356,721.738942,743.272130,69362227
2026-04-09,742.374245,763.142464,734.750304,755.384908,16468574
2026-04-10,756.182059,769.249552,741.897286,754.943374,6095546
