Date,Open,High,Low,Close,Volume
2025-10-07,2828.767707,2867.600621,2731.947755,2769.973552,55385140
2025-10-08,2753.089492,2775.165779,2715.791614,2737.744855,87420906
2025-10-09,2710.510330,2801.923218,2664.253669,2754.908867,92323348
2025-10-10,2764.111337,2826.481939,2638.056541,2698.956971,36976274
2025-10-13,2689.260998,2706.152106,2629.131177,2645.748988,104474355
2025-10-14,2629.433746,2657.879918,2596.179154,2624.572738,81404226
2025-10-15,2646.044610,2701.896480,2579.127800,2634.741079,135494804
2025-10-16,2659.071252,2856.524886,2624.885548,2820.266811,105702853
2025-10-17,2812.244220,2964.098837,2773.061564,2923.367909,144401317
2025-10-20,2889.313134,2987.630661,2864.045002,2961.729223,136629998
2025-10-21,2991.310113,3036.407605,2959.641476,3004.598288,80756602
2025-10-22,3000.396936,3141.216903,2931.137216,3070.342590,132377567
2025-10-23,3048.948359,3068.713071,3015.125879,3034.798868,149496199
2025-10-24,3028.236008,3090.647514,2891.049767,2951.887746,125173718
2025-10-27,2979.091458,3107.143932,2944.186732,3071.160474,128686916
2025-10-28,3092.401169,3140.223051,3053.410218,3101.122142,40989959
2025-10-29,3094.495949,3193.476073,3066.380765,3164.722840,65839348
2025-10-30,3171.590712,3218.134620,3000.688650,3045.380389,134564589
2025-10-31,3063.532822,3101.170140,2986.066755,3023.208667,29061089
2025-11-03,3001.908947,3073.655905,2927.310862,2998.988008,115109931
2025-11-04,3000.707702,3061.586608,2974.173296,3034.751164,24200268
2025-11-05,3052.700332,3084.847750,2944.968403,2976.311383,147186381
2025-11-06,2991.601943,3032.125555,2935.690563,2976.002874,7400500
2025-11-07,2988.390411,3075.523945,2942.315026,3028.825133,136754062
2025-11-10,3045.257750,3097.616211,2957.918082,3009.664573,93297607
2025-11-11,3012.511442,3068.858700,2879.009445,2933.886062,9572752
2025-11-12,2912.015221,3042.817579,2859.516395,2988.932070,123928833
2025-11-13,2996.056370,3043.017320,2966.197617,3012.989808,26683417
2025-11-14,2999.074000,3180.391251,2953.167447,3132.443228,127288161
2025-11-17,3116.739371,3142.716172,3028.370215,3053.822630,123299939
2025-11-18,3044.554030,3089.551715,2977.525050,3022.192234,28222623
2025-11-19,3030.774896,3080.043901,2975.906645,3025.083123,22701989
2025-11-20,3039.912616,3204.075594,2981.874443,3144.049240,67883990
2025-11-21,3110.305132,3301.402516,3072.078493,3261.319858,107801021
2025-11-24,3270.164557,3412.077278,3210.678594,3351.118717,114768556
2025-11-25,3356.128589,3507.261845,3313.344745,3463.114152,65935956
2025-11-26,3474.801160,3512.570056,3418.981513,3456.552052,87629954
2025-11-27,3434.129452,3549.654240,3388.680059,3503.289540,49055512
2025-11-28,3496.668083,3628.185393,3449.900230,3580.298979,130182838
2025-12-01,3578.553732,3654.463334,3459.653067,3534.630963,110879751
2025-12-02,3573.096136,3644.081889,3549.750622,3620.427129,110040968
2025-12-03,3646.192935,3661.705914,3550.197791,3565.366890,7920741
2025-12-04,3578.961984,3643.803614,3452.927329,3516.639841,135313079
2025-12-05,3493.731137,3666.546236,3445.129374,3616.240232,29287967
2025-12-08,3620.429588,3697.855200,3573.961905,3650.995212,55920326
2025-12-09,3647.337184,3941.988150,3590.759443,3881.773811,72970709
2025-12-10,3877.735555,4029.381160,3813.366818,3963.587321,109108530
2025-12-11,3994.778857,4087.994142,3966.312938,4059.070098,78188435
2025-12-12,4074.720469,4125.949537,3977.191935,4027.831495,59677644
2025-12-15,4038.973814,4091.964863,3997.676859,4050.549550,75307791
2025-12-16,4058.286067,4128.171644,3926.012808,3994.805215,3313796
2025-12-17,4001.470396,4061.608580,3895.529552,3954.968863,17930508
2025-12-18,3944.279601,4158.444368,3866.447073,4077.973653,116731858
2025-12-19,4070.316633,4122.504711,3875.605067,3925.942028,58719764
2025-12-22,3937.239369,4039.563301,3888.511269,3990.179997,106837822
2025-12-23,3995.246675,4037.643984,3790.766329,3831.425174,50160767
2025-12-24,3806.386211,3963.291217,3743.683348,3899.061704,109697682
2025-12-25,3881.624324,3928.592138,3765.233516,3811.351020,15025042
2025-12-26,3813.760735,3889.158135,3661.186702,3735.027560,20393727
2025-12-29,3721.658070,3751.061278,3640.475372,3669.466236,107351903
2025-12-30,3715.525843,3853.045972,3698.428863,3835.397403,74925038
2025-12-31,3798.492790,3860.019672,3765.925774,3827.206474,114622184
2026-01-01,3803.393592,4072.335859,3765.326114,4031.980496,27798052
2026-01-02,3986.385729,4123.302455,3933.321282,4069.136477,12932882
2026-01-05,4054.770053,4107.735019,3955.968885,4008.327197,132727280
2026-01-06,3975.905691,4158.263261,3940.160626,4121.211832,102087952
2026-01-07,4123.015701,4133.127636,4094.351993,4104.418316,100916415
2026-01-08,4124.657431,4186.355712,3983.069537,4043.554650,71403739
2026-01-09,4012.398749,4164.113769,3953.357185,4103.728311,43698564
2026-01-12,4086.986898,4162.517199,4070.005459,4145.293495,123054539
2026-01-13,4160.042575,4191.115773,4078.841820,4109.537776,109429140
2026-01-14,4107.634664,4212.572459,4036.642236,4141.003319,124091903
2026-01-15,4123.221761,4294.399252,4075.644441,4245.411995,33620348
2026-01-16,4292.541885,4309.199283,4199.705362,4216.065992,51590189
2026-01-19,4203.801215,4269.496194,4010.406413,4074.074079,5611489
2026-01-20,4065.170692,4105.783678,4019.320857,4059.880996,128286442
2026-01-21,4042.692220,4109.193253,4041.983299,4108.472798,113884313
2026-01-22,4118.889366,4228.221783,4099.010162,4207.912920,26640937
2026-01-23,4208.633871,4342.038423,4169.945621,4302.487417,89239514
2026-01-26,4293.275420,4493.713865,4211.010811,4409.227467,5700710
2026-01-27,4392.509316,4448.630211,4276.904108,4332.255166,96835499
2026-01-28,4346.922066,4456.127468,4307.003825,4415.578746,21228954
2026-01-29,4412.999961,4584.560339,4370.229877,4540.554022,115325570
2026-01-30,4556.662508,4640.768766,4526.378314,4610.129225,87293197
2026-02-02,4591.663622,4799.239137,4539.747714,4745.582932,131775452
2026-02-03,4755.587224,4804.108877,4616.635794,4664.225274,22858771
2026-02-04,4663.265651,4754.415964,4613.247875,4703.961686,64653206
2026-02-05,4708.059005,4771.685940,4519.137830,4581.048281,56190554
2026-02-06,4530.789180,4606.113129,4521.931654,4597.125917,115557259
2026-02-09,4629.044663,4664.681618,4498.326343,4533.225630,10494941
2026-02-10,4567.614484,4598.469192,4153.036778,4181.281768,85043307
2026-02-11,4238.104644,4311.686827,4097.449706,4169.846793,88853861
2026-02-12,4168.179112,4209.001591,4073.830435,4114.123502,26772375
2026-02-13,4118.084269,4132.721707,4082.065378,4096.626546,59244827
2026-02-16,4084.942023,4142.071778,4003.365095,4060.148095,13878713
2026-02-17,4094.809779,4130.968233,4041.740544,4077.748340,141045496
2026-02-18,4076.654052,4237.447079,4062.362202,4222.643423,65096982
2026-02-19,4252.690853,4322.663692,4206.121812,4275.841144,2718479
2026-02-20,4317.198258,4406.931895,4275.630956,4364.905254,35150510
2026-02-23,4398.784501,4480.901405,4249.764651,4330.608846,93771866
2026-02-24,4308.556341,4415.566426,4248.628591,4354.992791,74677116
2026-02-25,4392.142665,4455.386670,4248.045993,4310.108763,63435692
2026-02-26,4308.096285,4401.513245,4051.179330,4140.972368,140318163
2026-02-27,4172.512930,4235.182124,3984.843393,4045.606511,38208142
