Date,Open,High,Low,Close,Volume
2025-10-07,10956.027914,11165.503282,10814.412083,11023.021502,40707728
2025-10-08,11038.393819,11199.367344,10757.011710,10916.203324,123968085
2025-10-09,10924.593629,11131.352971,10585.804782,10790.017123,136786043
2025-10-10,10737.628305,11560.722660,10574.707701,11387.935038,66538043
2025-10-13,11377.673614,11604.302903,11277.465434,11502.990997,48206221
2025-10-14,11542.221737,11639.041808,11390.421282,11486.776258,146443967
2025-10-15,11558.811835,11671.780028,11328.898537,11440.712505,80129180
2025-10-16,11439.420363,11486.294013,11292.388590,11338.850148,12499504
2025-10-17,11367.834819,11717.987797,11269.631947,11617.627054,53196298
2025-10-20,11448.785573,11965.511551,11387.970770,11902.287790,73557751
2025-10-21,11816.226118,12056.151240,11401.419297,11637.719901,4645137
2025-10-22,11632.414468,12091.901651,11474.954024,11930.407469,24591606
2025-10-23,11883.839907,12212.401758,11775.817485,12102.392723,14070643
2025-10-24,12167.199234,12530.065339,12072.799923,12433.599161,53701805
2025-10-27,12454.313594,12715.350136,12321.609889,12581.293430,149580736
2025-10-28,12575.436584,12750.186289,12213.657221,12385.771315,84501557
2025-10-29,12411.453471,12539.962956,12069.801627,12196.081125,131609005
2025-10-30,12332.976519,12497.274574,12240.585488,12404.348865,137865591
2025-10-31,12417.245260,12656.669265,11924.247442,12158.686019,69879613
2025-11-03,12342.118395,12439.310899,11981.187329,12076.286442,35731265
2025-11-04,12105.026193,12254.807236,11844.282135,11992.672980,124876357
2025-11-05,11833.184815,12049.123061,11740.225792,11955.205470,110113847
2025-11-06,12036.918878,12185.360650,11871.670290,12019.902209,78816748
2025-11-07,11973.239923,12278.223274,11740.829373,12044.430849,2159804
2025-11-10,11954.063024,12304.149861,11716.123774,12064.021937,105648211
2025-11-11,12029.284908,12149.137214,11978.621111,12098.183238,89635136
2025-11-12,12097.981419,12270.086675,11494.817748,11660.702294,146457753
2025-11-13,11630.032786,11747.403454,11242.043605,11356.655339,94346029
2025-11-14,11443.491724,11737.366695,11317.834512,11609.882401,25837591
2025-11-17,11538.468643,11689.053551,10900.015647,11044.149350,95864340
2025-11-18,11033.005585,11183.712687,10527.618188,10673.413383,33643267
2025-11-19,10685.230837,10967.972202,10563.781398,10844.710105,69837836
2025-11-20,10757.164335,11553.059904,10598.662157,11385.302382,146194255
2025-11-21,11377.404876,12183.682772,11318.091595,12120.495572,118951593
2025-11-24,12065.038206,12258.662628,11918.148491,12111.210770,62066819
2025-11-25,12182.238439,12681.334756,11922.411697,12416.511365,45346621
2025-11-26,12421.537087,12623.152208,11743.612030,11937.368567,1909545
2025-11-27,11946.583277,12125.493166,11687.982632,11865.680942,11176591
2025-11-28,11865.690795,12029.032145,11419.192354,11578.581398,53911706
2025-12-01,11619.798797,11750.194040,11265.341887,11393.194215,32165416
2025-12-02,11293.923801,11797.775185,11200.163680,11700.638591,76419093
2025-12-03,11771.370898,11946.315944,11651.399996,11825.790411,107718887
2025-12-04,11862.078927,12053.623225,11652.508178,11843.756615,77340006
2025-12-05,11783.316623,12079.686368,11720.025779,12015.150294,70098842
2025-12-08,12100.412128,12360.300871,11542.928283,11796.285083,39041591
2025-12-09,11742.909206,12191.394742,11603.179502,12048.034333,35245560
2025-12-10,12064.607604,12371.617571,11935.251549,12240.376928,99142139
2025-12-11,12160.518721,12362.505321,12054.348277,12255.505570,35726942
2025-12-12,12231.500470,12499.366556,12145.231471,12411.825721,114092381
2025-12-15,12561.503995,12707.699702,12334.250896,12479.492118,130509864
2025-12-16,12472.610961,12726.348777,12338.339215,12590.804637,15192319
2025-12-17,12646.953664,12837.609211,12444.968872,12635.451015,133768396
2025-12-18,12632.761857,12803.855150,12389.809550,12559.916250,34745871
2025-12-19,12620.177085,12718.504988,12319.245967,12415.982927,82286306
2025-12-22,12402.401156,12853.816404,12303.918580,12752.553407,105896826
2025-12-23,12803.227031,13038.769543,12559.074751,12794.455900,144146723
2025-12-24,12799.641789,13208.519688,12697.175218,13103.619644,32992156
2025-12-25,13185.657702,13802.632696,13031.189441,13642.808968,87763638
2025-12-26,13643.669065,13814.098628,13391.909420,13561.310199,78327415
2025-12-29,13540.364713,13654.028699,13460.034537,13573.501932,28430962
2025-12-30,13504.394754,13736.248104,13499.058887,13730.822771,134403169
2025-12-31,13773.130387,14157.010920,13550.256681,13931.573326,104659979
2026-01-01,13908.701488,14073.934000,13510.757004,13673.191708,123529720
2026-01-02,13753.033494,14213.723588,13664.270708,14122.575757,11379774
2026-01-05,14028.658204,14970.695994,13767.855288,14697.459576,65708515
2026-01-06,14692.351977,15256.930182,14516.818834,15076.803897,9240196
2026-01-07,14966.269852,15146.340708,14814.772347,14994.556865,81580430
2026-01-08,15085.034883,15226.977481,14891.034359,15032.482465,16250554
2026-01-09,14954.468852,15419.314960,14677.740232,15139.168520,111344348
2026-01-12,15187.477468,15207.005051,14989.030691,15008.327929,56354890
2026-01-13,14926.377088,15462.840978,14820.149209,15353.572837,83795565
