Date,Open,High,Low,Close,Volume
2025-10-07,403.308799,415.034828,398.128137,409.771154,47204417
2025-10-08,409.298779,415.229415,405.536063,411.446950,123838033
2025-10-09,411.708653,442.674222,406.747027,437.402947,96103157
2025-10-10,439.069961,446.095977,426.065103,432.993889,46756350
2025-10-13,430.320661,445.637395,420.692629,435.884869,31913179
2025-10-14,438.261636,449.953949,437.015507,448.678202,144488126
2025-10-15,452.030100,461.820633,445.533464,455.277328,128751906
2025-10-16,455.232905,458.950794,441.888108,445.526727,127459100
2025-10-17,441.865760,456.955581,438.529751,453.531497,140436963
2025-10-20,458.360719,470.685422,453.956743,466.206067,143903668
2025-10-21,466.446990,475.739467,451.259161,460.431805,59511546
2025-10-22,462.212218,470.937027,455.328016,464.025813,123041765
2025-10-23,466.035021,471.487398,439.846012,445.052909,109628710
2025-10-24,441.152958,442.622739,437.088018,438.549123,38192128
2025-10-27,438.493059,448.409851,435.352052,445.220653,66460822
2025-10-28,448.139657,452.251177,440.779474,444.860912,118531968
2025-10-29,442.620560,448.271630,440.563732,446.198177,61985584
2025-10-30,449.180365,454.173375,432.150303,437.008007,61721004
2025-10-31,439.636667,450.001507,430.403866,440.745421,45098294
2025-11-03,439.190581,442.440056,437.537545,440.781033,83498347
2025-11-04,447.029369,454.125288,440.134977,447.227835,40794440
2025-11-05,445.073071,469.913560,438.218833,462.786531,74942487
2025-11-06,463.262124,474.766575,454.279925,465.736402,38670450
2025-11-07,463.229795,474.160458,456.360981,467.232294,81733288
2025-11-10,467.465596,481.723513,462.935689,477.100243,56670536
2025-11-11,470.244251,480.574771,452.884281,463.056907,49499827
2025-11-12,465.827287,472.728352,462.050898,468.926836,44335640
2025-11-13,471.159895,482.695697,464.259711,475.728604,60597749
2025-11-14,476.819668,489.304176,466.713595,479.148739,76964656
2025-11-17,476.230016,495.645243,464.457365,483.688221,33134760
2025-11-18,475.166152,505.075005,469.693950,499.324585,65825539
2025-11-19,501.106708,509.683033,473.706091,481.954632,33435033
2025-11-20,482.254975,487.618879,468.027725,473.291936,58978064
2025-11-21,474.772350,483.086572,463.615671,471.879230,3339155
2025-11-24,468.211424,470.609379,455.640070,457.985654,22438723
2025-11-25,456.430947,472.646748,450.916558,467.004613,118596411
2025-11-26,463.747918,468.229732,455.722706,460.169941,59323080
2025-11-27,466.841843,474.131225,449.695698,456.828732,10788528
2025-11-28,458.493861,462.517261,453.213234,457.225504,66930620
2025-12-01,454.691965,470.483195,448.554209,464.216865,88764576
2025-12-02,467.069971,472.596951,463.327874,468.840667,116230239
2025-12-03,469.585824,480.579257,450.624903,461.427339,46082042
2025-12-04,456.854456,469.722928,450.337465,463.116609,129995830
2025-12-05,461.487256,471.260787,449.782373,459.514115,115305184
2025-12-08,459.454056,464.509969,449.678928,454.682332,105440456
2025-12-09,454.509646,459.368192,444.513311,449.316342,72497638
2025-12-10,450.457500,465.138319,442.361147,456.925709,13224377
2025-12-11,459.865761,467.157597,442.191126,449.315675,66329986
2025-12-12,453.574692,466.901769,444.242344,457.488885,58001875
2025-12-15,454.248830,482.751377,447.376906,475.557100,127204873
2025-12-16,472.742416,503.214856,464.676621,494.773179,121209476
